"AY","dev","cum"
1991,6,357.848
1991,18,1124.788
1991,30,1735.33
1991,42,2182.708
1991,54,2745.596
1991,66,3319.994
1991,78,3466.336
1991,90,3606.286
1991,102,3833.515
1991,114,3901.463
1992,6,352.118
1992,18,1236.139
1992,30,2170.033
1992,42,3353.322
1992,54,3799.067
1992,66,4120.063
1992,78,4647.867
1992,90,4914.039
1992,102,5339.085
1993,6,290.507
1993,18,1292.306
1993,30,2218.525
1993,42,3235.179
1993,54,3985.995
1993,66,4132.918
1993,78,4628.91
1993,90,4909.315
1994,6,310.608
1994,18,1418.858
1994,30,2195.047
1994,42,3757.447
1994,54,4029.929
1994,66,4381.982
1994,78,4588.268
1995,6,443.16
1995,18,1136.35
1995,30,2128.333
1995,42,2897.821
1995,54,3402.672
1995,66,3873.311
1996,6,396.132
1996,18,1333.217
1996,30,2180.715
1996,42,2985.752
1996,54,3691.712
1997,6,440.832
1997,18,1288.463
1997,30,2419.861
1997,42,3483.13
1998,6,359.48
1998,18,1421.128
1998,30,2864.498
1999,6,376.686
1999,18,1363.294
2000,6,344.014
